timestamp,blockId,txId,address,amount,scriptType,offset
1354529889,210718,9491358,8080430,1,2,0
1354529889,210718,9491377,8080430,1,2,0
1354529889,210718,9491410,8080430,1,2,0
1354530140,210719,9491439,8080430,1,2,0
1354530140,210719,9491447,8080430,1,2,0
1354530140,210719,9491450,8080430,1,2,0
1354530140,210719,9491470,8080430,1,2,0
1354530140,210719,9491471,8080430,1,2,0
1354530391,210720,9491561,8080430,1,2,0
1354530391,210720,9491563,8080430,1,2,0
1354531183,210723,9491705,8080430,1,2,0
1354531940,210724,9491846,8080430,1,2,0
1354531940,210724,9491891,8080430,1,2,0
1354532203,210725,9491932,8080430,1,2,0
1354532516,210727,9491995,8080430,1,2,0
1354532516,210727,9492001,8080430,1,2,0
1354532516,210727,9492029,8080430,1,2,0
1354532516,210727,9492031,8080430,1,2,0
1354532516,210727,9492045,8080430,1,2,0
1354532516,210727,9492049,8080430,1,2,0
1354532516,210727,9492060,8080430,1,2,0
1354532516,210727,9492065,8080430,1,2,0
1354532516,210727,9492067,8080430,1,2,0
1354532516,210727,9492074,8080430,1,2,0
1354535207,210729,9492420,8080430,1,2,0
1354535207,210729,9492424,8080430,1,2,0
1354535207,210729,9492426,8080430,1,2,0
1354535207,210729,9492428,8080430,1,2,0
1354536636,210733,9492820,8080430,1,2,0
1354536636,210733,9492839,8080430,1,2,0
1354536636,210733,9492843,8080430,1,2,0
1354536636,210733,9492850,8080430,1,2,0
1354536636,210733,9492855,8080430,1,2,0
1354536636,210733,9492915,8080430,1,2,0
1354536636,210733,9492917,8080430,1,2,0
1354536726,210734,9492970,8080430,1,2,0
1354539533,210738,9493323,8080430,1,2,0
1354539533,210738,9493351,8080430,1,2,0
1354539533,210738,9493354,8080430,1,2,0
1354539533,210738,9493372,8080430,1,2,0
1354539533,210738,9493394,8080430,1,2,0
1354539533,210738,9493395,8080430,1,2,0
1354539533,210738,9493423,8080430,1,2,0
1354539533,210738,9493444,8080430,1,2,0
1354539533,210738,9493460,8080430,1,2,0
1354539533,210738,9493476,8080430,1,2,0
1354539533,210738,9493483,8080430,1,2,0
1354539533,210738,9493491,8080430,1,2,0
1354539533,210738,9493497,8080430,1,2,0
1354539533,210738,9493504,8080430,1,2,0
1354539533,210738,9493508,8080430,1,2,0
1354540195,210739,9493578,8080430,1,2,0
1354542019,210742,9494089,8080430,1,2,0
1354542019,210742,9494093,8080430,1,2,0
1354542019,210742,9494099,8080430,1,2,0
1354542019,210742,9494103,8080430,1,2,0
1354542019,210742,9494108,8080430,1,2,0
1354542019,210742,9494140,8080430,1,2,0
1354542019,210742,9494144,8080430,1,2,0
1354542019,210742,9494146,8080430,1,2,0
1354542019,210742,9494148,8080430,1,2,0
1354542019,210742,9494188,8080430,1,2,0
1354542019,210742,9494192,8080430,1,2,0
1354542019,210742,9494201,8080430,1,2,0
1354542019,210742,9494219,8080430,1,2,0
1354542690,210743,9494341,8080430,1,2,0
1354542690,210743,9494366,8080430,1,2,0
1354542690,210743,9494367,8080430,1,2,0
1354542690,210743,9494420,8080430,1,2,0
1354542690,210743,9494434,8080430,1,2,0
1354542690,210743,9494435,8080430,1,2,0
1354542690,210743,9494482,8080430,1,2,0
1354542690,210743,9494497,8080430,1,2,0
1354542690,210743,9494501,8080430,1,2,0
1354542690,210743,9494503,8080430,1,2,0
1354542690,210743,9494507,8080430,1,2,0
1354543677,210744,9494632,8080430,1,2,0
1354543677,210744,9494633,8080430,1,2,0
1354543677,210744,9494662,8080430,1,2,0
1354543677,210744,9494664,8080430,1,2,0
1354543487,210745,9494742,8080430,1,2,0
1354544181,210747,9494924,8080430,1,2,0
1354544181,210747,9494932,8080430,1,2,0
1354544181,210747,9494941,8080430,1,2,0
1354544466,210748,9494991,8080430,1,2,0
1354545956,210749,9495189,8080430,1,2,0
1354545956,210749,9495197,8080430,1,2,0
1354545956,210749,9495208,8080430,1,2,0
1354545956,210749,9495209,8080430,1,2,0
1354545956,210749,9495210,8080430,1,2,0
1354545956,210749,9495214,8080430,1,2,0
1354545956,210749,9495215,8080430,1,2,0
1354545956,210749,9495216,8080430,1,2,0
1354545956,210749,9495220,8080430,1,2,0
1354545956,210749,9495221,8080430,1,2,0
1354545956,210749,9495222,8080430,1,2,0
1354545956,210749,9495246,8080430,1,2,0
1354545956,210749,9495263,8080430,1,2,0
1354545956,210749,9495271,8080430,1,2,0
1354548613,210752,9495739,8080430,1,2,0
1354563757,210782,9499252,8080430,1,2,0
1354563757,210782,9499259,8080430,1,2,0
1354563757,210782,9499260,8080430,1,2,0
1354563757,210782,9499268,8080430,1,2,0
1354563757,210782,9499269,8080430,1,2,0
1354563757,210782,9499275,8080430,1,2,0
1354563757,210782,9499282,8080430,1,2,0
1354565319,210783,9499394,8080430,1,2,0
1354565319,210783,9499568,8080430,1,2,0
1354565319,210783,9499569,8080430,1,2,0
1354565319,210783,9499580,8080430,1,2,0
1354565319,210783,9499581,8080430,1,2,0
1354565319,210783,9499582,8080430,1,2,0
1354566280,210785,9499937,8080430,1,2,0
1354605882,210842,9513765,8080430,1,2,0
1354605882,210842,9513790,8080430,1,2,0
1354611526,210850,9515327,8080430,1,2,0
1354611526,210850,9515334,8080430,1,2,0
1354611526,210850,9515336,8080430,1,2,0
1354611526,210850,9515338,8080430,1,2,0
1354611526,210850,9515343,8080430,1,2,0
1354611526,210850,9515344,8080430,1,2,0
1354611526,210850,9515345,8080430,1,2,0
1354611526,210850,9515346,8080430,1,2,0
1354611526,210850,9515347,8080430,1,2,0
1354611526,210850,9515348,8080430,1,2,0
1354611526,210850,9515349,8080430,1,2,0
1354612682,210851,9515410,8080430,1,2,0
1354612682,210851,9515432,8080430,1,2,0
1354612682,210851,9515433,8080430,1,2,0
1354612682,210851,9515565,8080430,1,2,0
1354612682,210851,9515572,8080430,1,2,0
1354612682,210851,9515577,8080430,1,2,0
1354612682,210851,9515584,8080430,1,2,0
1354612682,210851,9515597,8080430,1,2,0
1354612682,210851,9515599,8080430,1,2,0
1354612682,210851,9515601,8080430,1,2,0
1354612682,210851,9515632,8080430,1,2,0
1354612682,210851,9515648,8080430,1,2,0
1354612682,210851,9515649,8080430,1,2,0
1354612682,210851,9515660,8080430,1,2,0
1354612682,210851,9515667,8080430,1,2,0
1354612682,210851,9515669,8080430,1,2,0
1354612682,210851,9515680,8080430,1,2,0
1354612682,210851,9515705,8080430,1,2,0
1354612682,210851,9515709,8080430,1,2,0
1354612682,210851,9515724,8080430,1,2,0
1354614819,210853,9515984,8080430,1,2,0
1354614819,210853,9515987,8080430,1,2,0
1354614819,210853,9516090,8080430,1,2,0
1354614819,210853,9516098,8080430,1,2,0
1354614819,210853,9516100,8080430,1,2,0
1354614819,210853,9516102,8080430,1,2,0
1354614819,210853,9516104,8080430,1,2,0
1354614819,210853,9516105,8080430,1,2,0
1354614819,210853,9516109,8080430,1,2,0
1354614819,210853,9516110,8080430,1,2,0
1354614819,210853,9516155,8080430,1,2,0
1354614856,210854,9516238,8080430,1,2,0
1354614856,210854,9516239,8080430,1,2,0
1354614856,210854,9516240,8080430,1,2,0
1354614856,210854,9516241,8080430,1,2,0
1354614856,210854,9516242,8080430,1,2,0
1354614856,210854,9516243,8080430,1,2,0
1354614856,210854,9516244,8080430,1,2,0
1354614856,210854,9516246,8080430,1,2,0
1354614856,210854,9516247,8080430,1,2,0
1354614856,210854,9516248,8080430,1,2,0
1354614856,210854,9516251,8080430,1,2,0
1354614856,210854,9516257,8080430,1,2,0
1354614856,210854,9516259,8080430,1,2,0
1354614974,210856,9516285,8080430,1,2,0
1354614974,210856,9516287,8080430,1,2,0
1354614974,210856,9516288,8080430,1,2,0
1354614974,210856,9516290,8080430,1,2,0
1354614974,210856,9516293,8080430,1,2,0
1354614974,210856,9516297,8080430,1,2,0
1354614974,210856,9516298,8080430,1,2,0
1354614974,210856,9516303,8080430,1,2,0
